title,content
Forward-Backward Lepton Jet Analyzer,FBLJA
Finance Committee,FC
Future Circular Collider Study,FCC
Fast Data Link,FDL
First Employment (Contract),FE
Federation Europeenne d'Associations Nationales d'Ingenieurs,FEANI
First Employment Programme,FEP
Front-End Readout Microsystems,FERMI
Finance Division,FI
Federation of International Civil Servants Association,FICSA
Fondation des Immeubles pour les Organisations Internationales (CH),FIPOI
Fellowship Selection Committee,FSC
Fixed Term (Contract),FT
Full-time equivalent,FTE
Groupement des Anciens du CERN,GAC
Governing Board (of the CERN Pension Fund),GB
Gestion de locaux,GESLOC
Group Leader in Matters of Safety,GLIMOS
Guest Professor,GPRO
Gesellschaft fur Schwerionen-Forschung, Darmstadt (Heavy Ions),GSI A2
Global System for Mobile Communications,GSM
Groupe de Travail Procedures Administratives,GTPA
High Energy Physics,HEP
Health Insurance Supervisory Board (full correct acronym CHISB),HISB
High-Luminosity Large Hadron Collider,HL-LHC
High Momentum Particle Identification Detector,HMPID
High-density Projection Chamber,HPC
High Performance Computing and Communications (US programme),HPCC
Hybrid Photo Diodes,HPD
High Performance Storage System,HPSS
Human Resource Management and Payroll,HRM&P;
PE Division Human Resources Services Group,HRS (PE-HRS)
Human Resources Toolkit,HRT
Honeycomb Strip Chambers,HSC
Harmonic Spin Matching,HSM
High Throughput Computing,HTC
HyperText Markup Language,HTML
High Temperature Superconducting (ceramic),HTS
International Atomic Energy Agency (Vienna),IAEA
Indefinite Appointment Review (presently ICR),IAR
Indefinite Appointment Review Board (presently ICRB),IARB
International Computing Center (Geneva),ICC
International Cryogenics Engineering Committee,ICEC
International Committee for Future Accelerators,ICFA
Indefinite Contract Review (formerly IAR),ICR
Indefinite Contract Review Board (ex-IARB),ICRB
International Commission on Radiological Protection,ICRP
Internet Engineering Task Force,IETF
Institute of High Energy Physics (Serpukhov, Russia),IHEP
Institute Laue-Langevin,ILL
Industrial Liaison Officer,ILO (at CERN)
Industrial Labour Organization (Office),ILO (BIT)
Administrative Tribunal of the International Labour Organization,ILOAT (TAOIT)
National Institute for Nuclear Physics and Particle Physics (France),IN2P3
Instituto Nazionale di Fisica Nucleare (Italy),INFN
Inter-Organization Study Section on Salaries and Prices,IOSSP
Internet Protocol,IP
ISOLDE Committee,ISC
International Organization for Standardization,ISO
Isotope Separator On-line Detector,ISOLDE
Intersecting Storage Rings,ISR
Information Technology Division (ex-CN),IT
Inner Tracking Chamber,ITC
International Union for Pure and Applied Physics,IUPAP
Institut Universitaire de Technologie,IUT
Internal Working Group,IWG
Joint Advisory Rehabilitation and Disability Board,JARDB (CPCRI)
Job Information Form,JIF
Joint Institute for Nuclear Research (Dubna, Russia),JINR
Joint Research Centre,JRC
Job-Relevant Professional Experience,JRPE
Joint Training Board,JTB
National Laboratory for High Energy Physics - Japan,KEK
LEP Experiment,L3
Lepton Asymmetry Analyzer (Project),LAA
Logistics Advisory Committee,LAC
Loi Federale sur l'Assurance Maladie (Swiss law on health insurance),LAMal
Lawrence Berkeley Laboratory (California),LBL
Limited Duration (Contract),LD
Long Duration Exposure Facility,LDEF
Low Energy Antiproton Ring (presently LEIR),LEAR
Low Energy Ion Ring (ex-LEAR),LEIR
Large Electron-Positron Storage Ring,LEP
LEP Experiments Committee,LEPC
Lead/Scintillating Fibres Calorimetry,LFC
Large Hadron Collider,LHC
LHC Beauty,LHC-B
LHC Experiments Committee,LHCC
LEP Injector Power Saver,LIPS
Low Temperature Nuclear Orientation,LTNO
Management Board,MB
Management Information System,MIS
Massachusetts Institute of Technology,MIT
Merit Oriented Advancement Scheme,MOAS
Member State,MS
Microstrip Gas Counters,MSGC
Minimal Supersymmetric Standard Model,MSSM
Mechanical Technologies Division (presently EST),MT
The CP Violation experiment,NA48
New Muon Collaboration,NMC
Non-member State,NMS
Neutrino Oscillation Magnetic Detector,NOMAD
National Science Foundation (USA),NSF
Object Database Management Group,ODMG
Office Federal de la Sante Publique (CH),OFSP
Object-Oriented (software),OO
Omni Purpose Apparatus for LEP,OPAL
Office de Protection contre les Rayonnements Ionisants (CH),OPRI
CERN Accounting System,ORIAC
Operating System,OS
Ordre de service valant commande ...,OSVC
Panstwowa Agencja Atomistyki (Polish National Atomic Energy Agency),PAA
Personnel Action Form,PAF
Personal Computer,PC
Personnel Coordinator (CERN-PE-HRS),PC
Paid Associate,PDAS
Paid Scientific Associates,PDSA
Personnel Division,PE
Physique et Applications des Semi-Conductor (Strasbourg, France),PHASE
Project Associates,PJAS
Project Leader,PL
Programmable Logic Controllers,PLC
Programme Project Activity,PPA
Particle Physics and Astronomy Research Council (UK),PPARC
Parallel Plate Chambers,PPC
Particle Physics Experiments Division,PPE
Purchasing Power Parities,PPP
Proton Synchrotron Division,PS
PS Booster,PSB
Personal Software Process,PSP
Quantum Chromo Dynamics (theory),QCD
Quark-Gluon Plasma,QGP
Radiation Hardness,RADHARD
Research Board,RB
Recruitment Service,RES
Review of Employment and Social Conditions,RESCO
Radio Frequency,RF
Ring Imaging Cherenkov (detectors),RICH
Recruitment Office,RO
Radiation Protection,RP
Radiation Protection Committee,RPC
Resistive Plate Chambers,RPC
Remote Procedure Call (computing),RPC
Restaurants Supervisory Committee,RSC
Radiation Safety Officers' Committee,RSOC
Safety Policy Committee,SAPOCO
Standing Concertation Committee,SCC (CCP)
Strategic Concertation Forum,SCF
Scaleable Coherent Interface,SCI
Software Documentation Layout Templates,SDLT
Software Development Tool,SDT
Science and Engineering Research Council (UK),SERC
Service Industriel de Geneve,SIG
Schweizer Institut fur Nuklearforschung,SIN
Scientific Information Policy Board,SIPB
CERN Commercial Purchasing System,SIRIAC
SPS and LEP Division,SL
Stanford Linear Accelerator Center,SLAC
SLAC Linear Collider,SLC
Stanford Large Detector,SLD
Shift Leader in Matters of Safety,SLIMOS
Standard Model,SM
Spin Muon Collaboration,SMC
Silicone Microstrip Detector,SMD
Surface Mounted Design,SMD
Superconducting Microstrip Detectors,SMSD
Silicone-On-Insulator, Complementary Metal-Oxide-Semiconductor,SOI-CMOS
Scientific Policy Committee,SPC
Software Process Improvement,SPI
Supplies, Procurement And Logistics Division,SPL
Super Proton Synchrotron,SPS
SPS & Lear Committee,SPSLC
Staff Rules and Regulations,SR&R;
Senior Staff Advancement Committee,SSAC
Superconducting Supercollider,SSC
Technical Support Division,ST
Scintillation Tile Calorimeter,STIC
Super Symetry,SUSY
Tribunal Administratif de l'Organisation Internationale du Travail,TAOIT (ILOAT)
Technical Control Room,TCR
Technical Design Report,TDR
Technical Data Server,TDS
Technical Engineers and Administrative Careers Committee (ex-STAC),TEACC
Training Executive Committee,TEC
Technical Students,TECH
Thin Gap Turbine,TGT
Theoretical Physics Division,TH
Senior Staff Advisory Committee,The NINE
Transaction InterDivisionnaire,TID
Technical Inspection and Safety Commission,TIS
Team Leader,TL
Time of Flight (Detector),TOF
Time Projection Chamber,TPC
Tripartite Advisory Committee on Conditions of Employment,TRACE
Transition Radiation Detector,TRD
Tripartite Employment Conditions Forum,TREF
Technical Students Selection Committee,TSC
Territorial Safety Officer,TSO
Timing, Trigger and Control,TTC
Users' Office,UO
Unpaid Associate,UPAS
Unpaid Scientific Associate,UPSA
Unpaid Associate with Subsistence Allowance,USAS
User Registration Interface,USERREG
Unpaid Scientific Associate with Subsistence Allowance,USSA
Very Forward Calorimeters,VFCs
Vacuum Image Pipeline,VIP
Virtual Machine,VM
Vacancy Notice,VN
Working Group,WG
Working Group on the Review of Purchasing Policy and Procedures,WGRPPP
World Wide Web,WWW
Yearly Organizing Reunion of International Civil Servants,YORICS
